scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
meta,16,dev_0023,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0039,0,"Yes, carbon can form a polar covalent bond with hydrogen.",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0055,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0059,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0068,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0087,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0107,0,"I don't know.
't
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0120,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0138,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0151,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0163,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0165,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0207,0,"France is in the Central European Time (CET) zone, which is one",,france,False,,,other,,False,False,
meta,16,dev_0210,0,"Yes.
't",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0221,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0229,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0237,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0243,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0248,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0249,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0251,0,"I don't know.
't
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0257,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0270,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0287,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0295,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0298,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0312,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0316,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0318,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0321,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0333,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0336,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0343,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0352,0,"I don't know.

't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0355,0,"Father's Day is celebrated on the third Sunday in June in the United States,",,father,False,,,other,,False,False,
meta,16,dev_0364,0,"Yes, a wicket-keeper is required in cricket.
't",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0366,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0406,0,"Yes, a California roll typically contains fish such as tuna or salmon.",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0428,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0429,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0430,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0436,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0441,0,"I don't know.
't
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0442,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0479,0,"Yes, there is such a thing as a miniature pig.
't",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0481,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0482,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0487,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0504,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0509,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0532,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0534,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0536,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
meta,16,dev_0537,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
