scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
memory,21,dev_0023,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0039,0,"YES, carbon can form a polar covalent bond with hydrogen due to the difference",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0055,0,"YES, Wisconsin has been in the Little League World Series. The Wisconsin Badgers",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0059,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0068,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0087,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0107,0,I don't know.,,i,False,,,idk,i don't know,False,True,
memory,21,dev_0120,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0138,0,"NO, the drinking age is the same in every state, as it is set",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0151,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0163,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0165,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0207,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0210,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0221,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0229,0,"NO, not all UK National Insurance numbers have a letter at the end. Some",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0237,0,"I don't know.
###",,i,False,,,idk,i don't know,False,True,
memory,21,dev_0243,0,"Yes, there is a Chinatown in St. Louis, Missouri.
###",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0248,0,"NO, there is no bird faster than a cheetah. Cheetahs",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0249,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0251,0,"NO, each sister chromatid has the same amount of DNA as a chromosome,",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0257,0,"NO, a glass window cannot break on its own as it requires an external force",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0270,0,"Yes, there are several U.S. states where the drinking age is 18",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0287,0,"NO, you cannot call a fair catch on a kickoff. A fair catch is",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0295,0,"YES, there is a difference between doves and pigeons. Doves are",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0298,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0312,0,"NO, adjectives do not have to come before a noun. They can also come",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0316,0,"NO, the internal intercostal muscles contract during expiration, not inspiration.",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0318,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0321,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0333,0,"NO, .22 Magnum and .22 WMR are not the same. .",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0336,0,"YES, there is a difference between Muay Thai and Thai boxing. Muay",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0343,0,"No, the president is not the only member of the executive branch. The executive",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0352,0,"NO, you cannot score off a throw-in in soccer.",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0355,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0364,0,"YES, a wicket keeper is a mandatory position in cricket, responsible for catching the",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0366,0,"YES, the pelvic brim separates the abdominal cavity and pelvic cavity.",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0406,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0428,0,"NO, peroxide and hydrogen peroxide are not the same thing. Peroxide refers to",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0429,0,"YES, flax oil and linseed oil are the same, as they are both",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0430,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0436,0,"YES, there is such a thing as a broken heart, which refers to the",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0441,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0442,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0479,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0481,0,"NO, there is no 6th borough in New York City. The five",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0482,0,"NO, a bumblebee does not die after stinging someone.",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0487,0,I don't know.,,i,False,,,idk,i don't know,False,True,
memory,21,dev_0504,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0509,0,"NO, the AR-15 is not used in the military. It is a",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0532,0,"YES, it is possible to connect your brain to a computer through the use of",,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0534,0,"NO, the National Guard can be mobilized and deployed both domestically and internationally",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0536,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0537,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
memory,21,dev_0546,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0560,0,I don't know.,,i,False,,,idk,i don't know,False,True,
memory,21,dev_0568,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0569,0,"NO, the NBA salary cap is a soft cap system.",,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0588,0,NO,,no,True,0.0,True,no,no,True,False,True
memory,21,dev_0594,0,NO,,no,True,0.0,True,no,no,True,False,True
