scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
meta,16,dev_0023,0,"No, a cape and a cloak are not the same. A cape is a",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0039,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0055,0,"No, Wisconsin has never been in the Little League World Series.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0059,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0068,0,"No, minors cannot receive the death penalty. In most countries, the minimum age",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0087,0,"No, a frog does not jump out of boiling water. The heat would cause",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0107,0,I don't know.,,i,False,,,idk,i don't know,False,True,
meta,16,dev_0120,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0138,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0151,0,"No, numbers do not look the same in all languages. Different languages have their",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0163,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0165,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0207,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0210,0,"No, ""The Three Little Pigs"" is not a nursery rhyme. It",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0221,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0229,0,"No, all UK National Insurance numbers do not have a letter at the end.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0237,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0243,0,"Yes, there is a Chinatown in St. Louis, Missouri.",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0248,0,"No, there is no bird that is faster than a cheetah.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0249,0,"No, queen ants do not give birth to other queen ants. Instead, they",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0251,0,"No, one sister chromatid does not have half the DNA of a chromosome",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0257,0,NO. A glass window cannot break on its own unless it is subjected to an,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0270,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0287,0,"No, I cannot call a fair catch on a kickoff. A fair catch",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0295,0,"No, I don't know.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0298,0,"No, sheet metal gauge and wire gauge are not the same. Sheet metal gauge",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0312,0,"No, adjectives do not have to come before a noun. They can be placed",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0316,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0318,0,"No, an Ace-2-3-4-5 is not a straight",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0321,0,"No, a filibuster cannot stop a Supreme Court nominee from being confirmed.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0333,0,"No, .22 Magnum and .22 WMR are not the",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0336,0,"No, there is no difference between Muay Thai and Thai boxing. Muay",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0343,0,"No, the president is not the only member of the executive branch. The executive",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0352,0,"No, I don't know.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0355,0,No. Father's Day is celebrated on the third Sunday of June every year,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0364,0,"No, you do not have to have a wicket keeper in cricket. However,",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0366,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0406,0,"No, a California roll does not have fish in it. It is typically made",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0428,0,"No, peroxide and hydrogen peroxide are not the same thing. Peroxide",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0429,0,"No, flax oil and linseed oil are not the same. Flax oil",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0430,0,"No, the Banaue Rice Terraces are not one of the 7",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0436,0,"I'm sorry, but I am not able to answer that question. As",,i,False,,,other,,False,False,
meta,16,dev_0441,0,NO.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0442,0,NO.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0479,0,"Yes, there is such a thing as a miniature pig. Miniature pigs,",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0481,0,"No, there was not a 6th borough in New York. The five",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0482,0,"No, a bumblebee does not die after stinging someone. Bumblebees",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0487,0,"NO, you cannot grow banana trees from a banana. Banana trees, also known",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0504,0,"No, friction tape is not the same as electrical tape. Friction tape is",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0509,0,"No, the AR-15 is not used in the military. It is",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0532,0,"No, it is not possible to connect your brain directly to a computer. While",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0534,0,"No, I don't know.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0536,0,No.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0537,0,"No, I cannot get a caution without being arrested. A caution is a type",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0546,0,"No, the College of William & Mary is not an Ivy League school.",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0560,0,"Yes, the University of Tampa has a football team.",,yes,True,1.0,False,yes,yes,True,False,False
meta,16,dev_0568,0,"No, the movie Heat was not based on a book. It was written and",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0569,0,NO.,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0588,0,NO. Boost Mobile and Virgin Mobile are two separate mobile network providers. Boost Mobile,,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0594,0,"No, bee stingers do not fall out on their own. Once a bee",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0596,0,"No, C# and Visual C# are not the same. C# is",,no,True,0.0,True,no,no,True,False,True
meta,16,dev_0598,0,No. The Vice President is not the head of the Senate. In the United,,no,True,0.0,True,no,no,True,False,True
