scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct,condition,acc_type
baseline,1,dev_0002,1,,4.193,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0004,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0008,1,,2.743,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0009,1,,4.242,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0013,1,,4.242,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0015,1,,2.658,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0020,1,,3.452,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0021,0,,3.144,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0022,1,,2.899,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0023,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0027,1,,0.285,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0031,1,,0.33,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0033,0,,4.221,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0038,1,,4.25,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0039,0,,3.059,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0040,0,,3.234,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0043,1,,2.176,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0047,1,,4.252,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0052,1,,4.251,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0055,0,,0.283,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0059,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0061,0,,4.254,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0065,1,,4.262,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0066,1,,2.927,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0068,0,,4.256,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0070,1,,3.503,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0072,1,,0.329,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0073,0,,3.589,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0076,1,,2.444,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0078,0,,5.307,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0080,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0083,0,,3.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0085,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0086,1,,3.15,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0087,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0088,1,,2.885,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0089,1,,3.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0091,1,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0095,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0100,0,,0.327,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0105,1,,4.256,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0107,0,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0116,1,,1.386,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0120,1,,2.62,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0121,1,,4.261,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0123,0,,4.036,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0124,0,,3.238,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0125,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0126,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0129,1,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0131,1,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0132,1,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0136,1,,2.709,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0138,0,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0142,0,,3.905,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0147,1,,4.26,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0148,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0151,0,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0153,1,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0157,0,,2.665,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0159,1,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0161,1,,5.6,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0163,1,,4.262,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0165,0,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0166,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0170,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0178,1,,2.489,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0179,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0184,1,,2.71,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0190,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0191,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0195,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0196,1,,4.583,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0198,0,,0.329,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0200,1,,3.416,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0202,1,,3.904,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0207,0,,3.285,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0209,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0210,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0211,1,,0.548,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0212,0,,2.267,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0214,1,,3.776,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0215,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0221,0,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0222,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0223,0,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0224,0,,4.262,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0229,1,,0.285,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0230,0,,4.261,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0231,1,,4.251,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0234,0,,4.272,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0236,0,,3.2,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0237,0,,4.265,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0238,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0240,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0241,1,,2.136,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0242,1,,2.754,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0243,0,,0.285,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0245,1,,0.681,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0247,0,,2.973,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0248,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0249,1,,3.77,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0250,1,,1.164,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0251,1,,4.148,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0252,1,,0.679,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0254,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0256,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0257,1,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0258,1,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0260,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0262,1,,3.638,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0266,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0268,1,,2.754,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0270,0,,1.21,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0271,1,,3.063,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0272,0,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0273,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0277,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0281,1,,0.285,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0284,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0286,1,,3.37,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0287,1,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0288,1,,4.26,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0290,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0294,0,,1.208,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0295,0,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0298,1,,5.6,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0301,0,,4.26,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0303,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0305,0,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0306,1,,3.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0307,1,,4.264,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0308,1,,4.262,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0309,0,,0.329,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0310,1,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0312,0,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0313,0,,3.064,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0315,1,,4.257,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0316,1,,2.4,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0317,0,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0318,1,,2.709,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0321,1,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0322,1,,0.283,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0323,1,,5.608,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0326,1,,1.385,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0329,1,,2.753,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0330,1,,2.443,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0331,1,,3.238,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0333,1,,4.262,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0334,1,,4.261,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0336,0,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0337,1,,5.603,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0338,1,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0339,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0342,0,,3.592,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0343,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0344,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0346,1,,3.99,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0347,1,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0348,1,,0.284,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0352,0,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0355,0,,1.076,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0357,1,,4.258,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0359,1,,2.887,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0361,1,,3.77,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0363,1,,4.26,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0364,0,,3.903,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0366,0,,4.259,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0367,1,,0.328,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0368,0,,5.6,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0371,0,,3.194,,False,,,other,,False,False,,baseline,NC
baseline,1,dev_0374,0,,4.258,,False,,,other,,False,False,,baseline,NC
