scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct,condition,acc_type
baseline,1,dev_0023,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0039,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0055,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0059,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0068,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0087,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0107,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0120,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0138,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0151,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0163,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0165,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0207,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0210,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0221,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0229,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0237,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0243,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0248,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0249,0,YES,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0251,0,NO,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
