scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
baseline,1,dev_0023,0,"NO. A cape is typically a long, flowing piece of clothing that covers the",,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0039,0,Yes. Carbon can form a polar covalent bond with hydrogen. This is,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0055,0,NO.,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0059,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0068,0,NO. The death penalty is typically only applicable to adults who have reached the age,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0087,0,NO. Frogs are known to be able to tolerate high temperatures for short periods,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0107,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0120,0,"NO. A vehicle title is proof of ownership of a vehicle, while registration is",,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0138,0,NO. The legal drinking age is统一的，为21岁。,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0151,0,NO. Numbers can look different in different languages depending on the writing system used.,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0163,0,NO. The square root of 2 is an irrational number and cannot be expressed,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0165,0,Yes. Dragon fruit and pitaya are the same thing. They are both tropical,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0207,0,"NO. France is in Central European Time (CET), which is one hour",,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0210,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0221,0,Yes. A markup language is designed to describe the structure and content of data in,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0229,0,NO. Not all UK National Insurance numbers have a letter at the end. The,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0237,0,Yes. A 2-cycle engine has two strokes of the piston in one cycle,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0243,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0248,0,NO.,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0249,0,Yes. Queen ants are the only type of ant that can reproduce and give birth,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0251,0,NO. One sister chromatid has the same amount of DNA as a chromosome.,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0257,0,NO.,,no,True,0.0,True,no,no,True,False,True
baseline,1,dev_0270,0,Yes. The District of Columbia has a drinking age of 18. However,,yes,True,1.0,False,yes,yes,True,False,False
baseline,1,dev_0287,0,"NO. A fair catch is only possible on a punt, not a kickoff.",,no,True,0.0,True,no,no,True,False,True
