boolq_id,pred_L1,comp_L1,corr_L1,label_L1,answered_L1,idk_L1,anscorr_L1
dev_0001,no,True,True,no,True,False,True
dev_0002,yes,True,False,yes,True,False,False
dev_0004,yes,True,False,yes,True,False,False
dev_0008,yes,True,False,yes,True,False,False
dev_0009,yes,True,False,yes,True,False,False
dev_0013,no,True,True,no,True,False,True
dev_0015,yes,True,False,yes,True,False,False
dev_0020,yes,True,False,yes,True,False,False
dev_0021,yes,True,False,yes,True,False,False
dev_0022,yes,True,False,yes,True,False,False
dev_0023,no,True,True,no,True,False,True
dev_0027,yes,True,False,yes,True,False,False
dev_0031,no,True,True,no,True,False,True
dev_0033,no,True,True,no,True,False,True
dev_0038,yes,True,False,yes,True,False,False
dev_0039,yes,True,False,yes,True,False,False
dev_0040,yes,True,False,yes,True,False,False
dev_0043,yes,True,False,yes,True,False,False
dev_0047,yes,True,False,yes,True,False,False
dev_0052,yes,True,False,yes,True,False,False
dev_0055,no,True,True,no,True,False,True
dev_0059,yes,True,False,yes,True,False,False
dev_0061,no,True,True,no,True,False,True
dev_0065,yes,True,False,yes,True,False,False
dev_0066,yes,True,False,yes,True,False,False
dev_0068,no,True,True,no,True,False,True
dev_0070,yes,True,False,yes,True,False,False
dev_0072,no,True,True,no,True,False,True
dev_0073,no,True,True,no,True,False,True
dev_0076,no,True,True,no,True,False,True
dev_0078,yes,True,False,yes,True,False,False
dev_0080,yes,True,False,yes,True,False,False
dev_0083,yes,True,False,yes,True,False,False
dev_0085,no,True,True,no,True,False,True
dev_0086,no,True,True,no,True,False,True
dev_0087,no,True,True,no,True,False,True
dev_0088,yes,True,False,yes,True,False,False
dev_0089,no,True,True,no,True,False,True
dev_0091,yes,True,False,yes,True,False,False
dev_0095,yes,True,False,yes,True,False,False
dev_0100,i,False,,idk,False,True,
dev_0105,yes,True,False,yes,True,False,False
dev_0107,yes,True,False,yes,True,False,False
dev_0116,yes,True,False,yes,True,False,False
dev_0120,no,True,True,no,True,False,True
dev_0121,yes,True,False,yes,True,False,False
dev_0123,no,True,True,no,True,False,True
dev_0124,no,True,True,no,True,False,True
dev_0125,yes,True,False,yes,True,False,False
dev_0126,no,True,True,no,True,False,True
dev_0129,no,True,True,no,True,False,True
dev_0131,no,True,True,no,True,False,True
dev_0132,yes,True,False,yes,True,False,False
dev_0136,yes,True,False,yes,True,False,False
dev_0138,no,True,True,no,True,False,True
dev_0142,no,True,True,no,True,False,True
dev_0147,yes,True,False,yes,True,False,False
dev_0148,yes,True,False,yes,True,False,False
dev_0151,no,True,True,no,True,False,True
dev_0153,yes,True,False,yes,True,False,False
dev_0157,no,True,True,no,True,False,True
dev_0159,yes,True,False,yes,True,False,False
dev_0161,yes,True,False,yes,True,False,False
dev_0163,no,True,True,no,True,False,True
dev_0165,yes,True,False,yes,True,False,False
dev_0166,yes,True,False,yes,True,False,False
dev_0170,no,True,True,no,True,False,True
dev_0178,yes,True,False,yes,True,False,False
dev_0179,no,True,True,no,True,False,True
dev_0184,no,True,True,no,True,False,True
dev_0190,no,True,True,no,True,False,True
dev_0191,yes,True,False,yes,True,False,False
