scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
semantic,11,dev_0023,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0025,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0039,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0055,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0059,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0068,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0087,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0107,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0120,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0138,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0151,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0163,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0165,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0207,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0210,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0221,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0229,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0237,0,"I don't know.
###",,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0243,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0248,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0249,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0251,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0257,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0270,0,"NO, there is no U.S. state where the drinking age is 18",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0287,0,"NO, a fair catch cannot be called on a kickoff. A fair catch is",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0295,0,"YES, there is a difference between doves and pigeons. Doves are",,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0298,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0312,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0316,0,"NO, the internal intercostal muscles contract during forced exhalation, not",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0318,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0321,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0333,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0336,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0343,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0352,0,"NO, you cannot score off a throw-in in soccer.",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0355,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0364,0,"NO, a wicket keeper is not mandatory in cricket. However, it is a",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0366,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0406,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0428,0,"NO, peroxide and hydrogen peroxide are not the same thing. Peroxide refers to",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0429,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0430,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0436,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0441,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0442,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0479,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0481,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0482,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0487,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0504,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0509,0,"Yes, the AR-15 is used in the military.",,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0532,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0534,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,11,dev_0536,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0537,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0546,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0560,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0568,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0569,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0588,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0594,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0596,0,"NO, C# is a programming language, while Visual C# is an integrated",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0598,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0612,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0617,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0662,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0678,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0696,0,"YES, there is a seat belt law in New Hampshire.",,yes,True,1.0,False,yes,yes,True,False,False
semantic,11,dev_0711,0,NO,,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0718,0,"NO, Chicago is the third largest city in Illinois, not the United States.",,no,True,0.0,True,no,no,True,False,True
semantic,11,dev_0724,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
