scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
underspecified,16,dev_0023,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0039,0,"Yes, carbon can form a polar covalent bond with hydrogen.
###",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0055,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0059,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0068,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0087,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0107,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0120,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0138,0,"Yes, the drinking age is different in every state.",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0151,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0163,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0165,0,"Yes, dragon fruit and pitaya are the same thing.",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0207,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0210,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0221,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0229,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0237,0,"Yes, there is a difference between 2-cycle and 2-stroke",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0243,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0248,0,I don't know. While some bird species have been observed reaching high speeds,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0249,0,"Yes, queen ants give birth to queen ants through a process called budding, where",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0251,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0257,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0270,0,"No, there is no U.S. state where the drinking age is",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0287,0,"Yes, you can call a fair catch on a kickoff.",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0295,0,"Yes, there is a difference between doves and pigeons. Pigeons are a",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0298,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0312,0,"Yes, in most cases adjectives come before the noun they modify in a sentence.",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0316,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0318,0,"Yes, an Ace-2-3-4-5 is a straight.",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0321,0,"No, a filibuster cannot stop a Supreme Court nominee. However, it",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0333,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0336,0,"Yes, there is a difference between Muay Thai and Thai boxing. Muay",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0343,0,"No, the president is not the only member of the executive branch. The executive",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0352,0,"No, you cannot score off a throw-in in soccer. A throw-",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0355,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0364,0,"Yes, you need to have a wicket keeper in cricket. The wicket-keeper",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0366,0,I don't know.,,i,False,,,idk,i don't know,False,True,
