answered_correct,domain,freq
TRUE,science,147
TRUE,biology,145
TRUE,health_medicine,111
TRUE,geography,98
TRUE,law,95
TRUE,sports,89
TRUE,film_tv,80
TRUE,politics_government,76
TRUE,business_economics,61
TRUE,arts_music_literature,58
TRUE,everyday_life_culture,57
TRUE,history,56
TRUE,technology,52
TRUE,social_science_religion,44
TRUE,games_gaming,41
TRUE,food_cooking,38
FALSE,sports,39
FALSE,science,33
FALSE,biology,30
FALSE,law,29
FALSE,business_economics,25
FALSE,technology,23
FALSE,politics_government,22
FALSE,film_tv,19
FALSE,everyday_life_culture,18
FALSE,health_medicine,18
FALSE,food_cooking,15
FALSE,geography,15
FALSE,games_gaming,13
FALSE,social_science_religion,13
FALSE,arts_music_literature,12
FALSE,history,10
NC,film_tv,18
NC,sports,13
NC,arts_music_literature,11
NC,technology,8
NC,law,6
NC,business_economics,5
NC,everyday_life_culture,5
NC,geography,5
NC,health_medicine,3
NC,science,2
NC,games_gaming,1
NC,history,1
NC,politics_government,1
NC,social_science_religion,1
IDK,film_tv,250
IDK,law,140
IDK,sports,129
IDK,everyday_life_culture,94
IDK,arts_music_literature,80
IDK,business_economics,74
IDK,food_cooking,55
IDK,technology,52
IDK,health_medicine,49
IDK,geography,46
IDK,biology,45
IDK,science,42
IDK,politics_government,40
IDK,history,39
IDK,games_gaming,37
IDK,social_science_religion,31
