scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
meta,11,dev_0002,1,NO.,15.885,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0007,1,NO.,15.939,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0008,1,NO.,15.926,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0010,1,NO.,15.938,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0018,1,NO.,15.935,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0032,1,NO.,15.94,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0035,1,NO.,15.939,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0037,0,YES.,15.938,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0039,0,YES.,15.939,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0045,1,NO.,15.938,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0046,1,NO.,15.937,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0049,1,NO.,15.927,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0055,0,YES.,15.939,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0058,1,NO.,15.939,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0059,0,YES.,15.937,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0067,1,NO.,15.959,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0072,1,NO.,15.941,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0074,1,NO.,15.941,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0076,1,NO.,15.944,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0079,1,NO.,15.958,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0083,0,YES.,15.942,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0087,1,NO.,15.939,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0097,1,NO.,15.939,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0104,0,YES.,15.917,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0107,0,YES.,15.961,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0138,0,YES.,15.94,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0140,0,YES.,15.918,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0148,1,NO.,15.941,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0156,1,NO.,15.938,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0160,1,NO.,15.918,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0165,0,YES.,15.939,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0178,1,NO.,15.941,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0184,1,NO.,15.917,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0188,1,NO.,15.938,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0191,1,NO.,15.959,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0192,1,NO.,15.919,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0198,0,YES.,15.96,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0200,1,NO.,15.912,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0207,0,YES.,15.89,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0210,0,YES.,15.909,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0217,0,YES.,15.911,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0221,0,YES.,15.907,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0227,1,NO.,15.909,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0231,1,NO.,15.907,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0237,0,YES.,15.93,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0238,1,NO.,15.906,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0243,0,YES.,15.928,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0249,1,NO.,15.905,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0251,1,NO.,15.929,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0256,1,NO.,15.909,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0258,1,NO.,15.905,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0265,1,NO.,15.905,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0273,0,YES.,15.93,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0286,1,NO.,15.906,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0287,1,NO.,15.907,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0295,0,YES.,15.909,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
meta,11,dev_0298,1,NO.,15.905,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0307,1,NO.,15.93,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0310,1,NO.,15.908,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0311,1,NO.,15.929,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0314,1,NO.,15.928,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0315,1,NO.,15.906,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0316,1,NO.,15.932,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0318,1,NO.,15.93,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0321,1,NO.,15.927,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0324,1,NO.,15.929,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0333,1,NO.,15.93,no,TRUE,0,FALSE,no,no,TRUE,FALSE,FALSE
meta,11,dev_0336,0,YES.,15.931,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
