boolq_id,pred_L6,pred_L11,pred_L16,pred_L21,comp_L6,comp_L11,comp_L16,comp_L21,corr_L6,corr_L11,corr_L16,corr_L21,label_L6,label_L11,label_L16,label_L21,answered_L6,answered_L11,answered_L16,answered_L21,idk_L6,idk_L11,idk_L16,idk_L21,anscorr_L6,anscorr_L11,anscorr_L16,anscorr_L21
dev_0001,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0002,no,i,i,i,True,False,False,False,True,,,,no,idk,idk,idk,True,False,False,False,False,True,True,True,True,,,
dev_0004,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0008,yes,i,i,i,True,False,False,False,False,,,,yes,idk,idk,idk,True,False,False,False,False,True,True,True,False,,,
dev_0009,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0013,no,i,i,i,True,False,False,False,True,,,,no,idk,idk,idk,True,False,False,False,False,True,True,True,True,,,
dev_0015,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0020,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0021,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0022,yes,yes,yes,i,True,True,True,False,False,False,False,,yes,yes,yes,idk,True,True,True,False,False,False,False,True,False,False,False,
dev_0023,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0027,no,i,yes,yes,True,False,True,True,True,,False,False,no,idk,yes,yes,True,False,True,True,False,True,False,False,True,,False,False
dev_0031,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0033,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0038,it,i,i,it,False,False,False,False,,,,,other,idk,idk,other,False,False,False,False,False,True,True,False,,,,
dev_0039,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0040,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0043,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0047,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0052,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0055,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0059,yes,yes,i,i,True,True,False,False,False,False,,,yes,yes,idk,idk,True,True,False,False,False,False,True,True,False,False,,
dev_0061,no,yes,yes,yes,True,True,True,True,True,False,False,False,no,yes,yes,yes,True,True,True,True,False,False,False,False,True,False,False,False
dev_0065,i,i,yes,i,False,False,True,False,,,False,,idk,idk,yes,idk,False,False,True,False,True,True,False,True,,,False,
dev_0066,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0068,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0070,no,no,yes,yes,True,True,True,True,True,True,False,False,no,no,yes,yes,True,True,True,True,False,False,False,False,True,True,False,False
dev_0072,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0073,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0076,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0078,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0080,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0083,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0085,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0086,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0087,yes,i,i,i,True,False,False,False,False,,,,yes,idk,idk,idk,True,False,False,False,False,True,True,True,False,,,
dev_0088,yes,yes,no,yes,True,True,True,True,False,False,True,False,yes,yes,no,yes,True,True,True,True,False,False,False,False,False,False,True,False
dev_0089,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0091,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0095,i,yes,i,i,False,True,False,False,,False,,,idk,yes,idk,idk,False,True,False,False,True,False,True,True,,False,,
dev_0100,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0105,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0107,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0116,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0120,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0121,yes,i,i,i,True,False,False,False,False,,,,yes,idk,idk,idk,True,False,False,False,False,True,True,True,False,,,
dev_0123,no,i,i,i,True,False,False,False,True,,,,no,idk,idk,idk,True,False,False,False,False,True,True,True,True,,,
dev_0124,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0125,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0126,i,i,no,i,False,False,True,False,,,True,,idk,idk,no,idk,False,False,True,False,True,True,False,True,,,True,
dev_0129,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0131,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0132,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0136,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
