scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct,condition,acc_type
baseline,1,dev_0023,0,"NO. A cape is typically a long, flowing piece of clothing that covers the",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0039,0,Yes. Carbon can form a polar covalent bond with hydrogen. This is,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0055,0,NO.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0059,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0068,0,NO. The death penalty is typically only applicable to adults who have reached the age,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0087,0,NO. Frogs are known to be able to tolerate high temperatures for short periods,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0107,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0120,0,"NO. A vehicle title is proof of ownership of a vehicle, while registration is",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0138,0,NO. The legal drinking age is统一的，为21岁。,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0151,0,NO. Numbers can look different in different languages depending on the writing system used.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0163,0,NO. The square root of 2 is an irrational number and cannot be expressed,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0165,0,Yes. Dragon fruit and pitaya are the same thing. They are both tropical,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0207,0,"NO. France is in Central European Time (CET), which is one hour",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0210,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0221,0,Yes. A markup language is designed to describe the structure and content of data in,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0229,0,NO. Not all UK National Insurance numbers have a letter at the end. The,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0237,0,Yes. A 2-cycle engine has two strokes of the piston in one cycle,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0243,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0248,0,NO.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0249,0,Yes. Queen ants are the only type of ant that can reproduce and give birth,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0251,0,NO. One sister chromatid has the same amount of DNA as a chromosome.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0257,0,NO.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0270,0,Yes. The District of Columbia has a drinking age of 18. However,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0287,0,"NO. A fair catch is only possible on a punt, not a kickoff.",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0295,0,"Yes. Doves and pigeons are both members of the same family, Colum",,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0298,0,NO. Sheet metal gauge and wire gauge are two different things. Sheet metal gauge,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0312,0,"NO. Adjectives can come after a noun in English. This is called """,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0316,0,Yes. The internal intercostal muscles contract during inspiration to help expand the rib,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0318,0,Yes. An Ace-2-3-4-5 is a straight in,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0321,0,Yes. A filibuster can potentially stop a Supreme Court nominee by requiring 6,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0333,0,NO. They are different calibers of ammunition. .22 Magnum is,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0336,0,Yes. Muay Thai is a traditional martial art from Thailand that has been practiced,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0343,0,"NO. The President is the head of the Executive Branch, but there are other",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0352,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0355,0,"NO. Father's Day is celebrated on a different day each year, depending on",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0364,0,"Yes. In cricket, a wicket-keeper is an essential fielder who",,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0366,0,NO. There is no structure that separates the abdominal cavity and pelvic cavity. They,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0406,0,"Yes. A California roll is typically made with sushi rice, crab meat (or",,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0428,0,Yes. Peroxide and hydrogen peroxide are the same thing. They refer,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0429,0,Yes. Flax oil and linseed oil are the same thing. They both,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0430,0,NO.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0436,0,Yes. A broken heart is a common term used to describe the emotional pain and,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0441,0,NO. Lobster is a different species of crustacean than shrimp and does,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0442,0,Yes. Lead dust can be absorbed through the eyes. It is important to take,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0479,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0481,0,NO. There was never a 6th borough in New York City. The,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0482,0,"NO. A bumblebee will die after it has stung someone once,",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0487,0,Yes. Banana trees can be grown from a banana. The process involves taking a,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0504,0,NO. Friction tape is a type of adhesive tape that is used for holding,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0509,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0532,0,NO. It is not currently possible to directly connect a human brain to a computer,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0534,0,Yes. The National Guard is a reserve force of the United States military that is,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0536,0,NO. Thanos was not in the first Guardians of the Galaxy movie. He,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0537,0,Yes. A caution is a formal warning given by the police to someone who has,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0546,0,NO. The College of William & Mary is not an Ivy League school.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0560,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0568,0,NO.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0569,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0588,0,"NO. Boost Mobile is a prepaid mobile network operator in the United States, while",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0594,0,NO. Bee stingers do not fall out on their own. When a bee,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0596,0,"NO. C# is a programming language developed by Microsoft, while Visual C#",,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0598,0,NO. The Vice President is not the head of the Senate. The President of,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0612,0,Yes. Popcorn is made from corn kernels that have been dried and heated until,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0617,0,Yes. France and England have both competed in the FIFA World Cup multiple times.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0662,0,NO. They are two different companies. LensCrafters is an American optical retail,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0678,0,NO. It is not recommended to wash a child's mouth out with soap as,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0696,0,Yes.,,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0711,0,NO.,,no,True,0.0,True,no,no,True,False,True,baseline,Correct
baseline,1,dev_0718,0,"Yes. 

Chicago is the third largest city in the United States, with a",,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
baseline,1,dev_0724,0,"Yes. There are several sequels to Along Came a Spider by James Patterson,",,yes,True,1.0,False,yes,yes,True,False,False,baseline,Incorrect
