scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
baseline,1,dev_0002,1,,4.193,,False,,,other,,False,False,
baseline,1,dev_0004,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0008,1,,2.743,,False,,,other,,False,False,
baseline,1,dev_0009,1,,4.242,,False,,,other,,False,False,
baseline,1,dev_0013,1,,4.242,,False,,,other,,False,False,
baseline,1,dev_0015,1,,2.658,,False,,,other,,False,False,
baseline,1,dev_0020,1,,3.452,,False,,,other,,False,False,
baseline,1,dev_0021,0,,3.144,,False,,,other,,False,False,
baseline,1,dev_0022,1,,2.899,,False,,,other,,False,False,
baseline,1,dev_0023,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0027,1,,0.285,,False,,,other,,False,False,
baseline,1,dev_0031,1,,0.33,,False,,,other,,False,False,
baseline,1,dev_0033,0,,4.221,,False,,,other,,False,False,
baseline,1,dev_0038,1,,4.25,,False,,,other,,False,False,
baseline,1,dev_0039,0,,3.059,,False,,,other,,False,False,
baseline,1,dev_0040,0,,3.234,,False,,,other,,False,False,
baseline,1,dev_0043,1,,2.176,,False,,,other,,False,False,
baseline,1,dev_0047,1,,4.252,,False,,,other,,False,False,
baseline,1,dev_0052,1,,4.251,,False,,,other,,False,False,
baseline,1,dev_0055,0,,0.283,,False,,,other,,False,False,
baseline,1,dev_0059,0,,0.284,,False,,,other,,False,False,
baseline,1,dev_0061,0,,4.254,,False,,,other,,False,False,
baseline,1,dev_0065,1,,4.262,,False,,,other,,False,False,
baseline,1,dev_0066,1,,2.927,,False,,,other,,False,False,
baseline,1,dev_0068,0,,4.256,,False,,,other,,False,False,
baseline,1,dev_0070,1,,3.503,,False,,,other,,False,False,
baseline,1,dev_0072,1,,0.329,,False,,,other,,False,False,
baseline,1,dev_0073,0,,3.589,,False,,,other,,False,False,
baseline,1,dev_0076,1,,2.444,,False,,,other,,False,False,
baseline,1,dev_0078,0,,5.307,,False,,,other,,False,False,
baseline,1,dev_0080,0,,0.328,,False,,,other,,False,False,
baseline,1,dev_0083,0,,3.328,,False,,,other,,False,False,
baseline,1,dev_0085,0,,0.328,,False,,,other,,False,False,
baseline,1,dev_0086,1,,3.15,,False,,,other,,False,False,
baseline,1,dev_0087,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0088,1,,2.885,,False,,,other,,False,False,
baseline,1,dev_0089,1,,3.284,,False,,,other,,False,False,
baseline,1,dev_0091,1,,4.259,,False,,,other,,False,False,
baseline,1,dev_0095,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0100,0,,0.327,,False,,,other,,False,False,
baseline,1,dev_0105,1,,4.256,,False,,,other,,False,False,
baseline,1,dev_0107,0,,4.258,,False,,,other,,False,False,
baseline,1,dev_0116,1,,1.386,,False,,,other,,False,False,
baseline,1,dev_0120,1,,2.62,,False,,,other,,False,False,
baseline,1,dev_0121,1,,4.261,,False,,,other,,False,False,
baseline,1,dev_0123,0,,4.036,,False,,,other,,False,False,
baseline,1,dev_0124,0,,3.238,,False,,,other,,False,False,
baseline,1,dev_0125,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0126,0,,0.284,,False,,,other,,False,False,
baseline,1,dev_0129,1,,4.257,,False,,,other,,False,False,
baseline,1,dev_0131,1,,4.257,,False,,,other,,False,False,
baseline,1,dev_0132,1,,4.258,,False,,,other,,False,False,
baseline,1,dev_0136,1,,2.709,,False,,,other,,False,False,
baseline,1,dev_0138,0,,4.259,,False,,,other,,False,False,
baseline,1,dev_0142,0,,3.905,,False,,,other,,False,False,
baseline,1,dev_0147,1,,4.26,,False,,,other,,False,False,
baseline,1,dev_0148,1,,0.328,,False,,,other,,False,False,
baseline,1,dev_0151,0,,4.257,,False,,,other,,False,False,
baseline,1,dev_0153,1,,4.259,,False,,,other,,False,False,
baseline,1,dev_0157,0,,2.665,,False,,,other,,False,False,
baseline,1,dev_0159,1,,4.259,,False,,,other,,False,False,
baseline,1,dev_0161,1,,5.6,,False,,,other,,False,False,
baseline,1,dev_0163,1,,4.262,,False,,,other,,False,False,
baseline,1,dev_0165,0,,4.258,,False,,,other,,False,False,
baseline,1,dev_0166,0,,0.284,,False,,,other,,False,False,
baseline,1,dev_0170,0,,0.284,,False,,,other,,False,False,
baseline,1,dev_0178,1,,2.489,,False,,,other,,False,False,
baseline,1,dev_0179,0,,0.328,,False,,,other,,False,False,
baseline,1,dev_0184,1,,2.71,,False,,,other,,False,False,
baseline,1,dev_0190,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0191,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0195,1,,0.284,,False,,,other,,False,False,
baseline,1,dev_0196,1,,4.583,,False,,,other,,False,False,
baseline,1,dev_0198,0,,0.329,,False,,,other,,False,False,
baseline,1,dev_0200,1,,3.416,,False,,,other,,False,False,
baseline,1,dev_0202,1,,3.904,,False,,,other,,False,False,
baseline,1,dev_0207,0,,3.285,,False,,,other,,False,False,
baseline,1,dev_0209,0,,0.328,,False,,,other,,False,False,
baseline,1,dev_0210,0,,0.284,,False,,,other,,False,False,
baseline,1,dev_0211,1,,0.548,,False,,,other,,False,False,
baseline,1,dev_0212,0,,2.267,,False,,,other,,False,False,
baseline,1,dev_0214,1,,3.776,,False,,,other,,False,False,
baseline,1,dev_0215,0,,0.284,,False,,,other,,False,False,
baseline,1,dev_0221,0,,4.258,,False,,,other,,False,False,
baseline,1,dev_0222,0,,0.328,,False,,,other,,False,False,
baseline,1,dev_0223,0,,4.258,,False,,,other,,False,False,
baseline,1,dev_0224,0,,4.262,,False,,,other,,False,False,
baseline,1,dev_0229,1,,0.285,,False,,,other,,False,False,
baseline,1,dev_0230,0,,4.261,,False,,,other,,False,False,
baseline,1,dev_0231,1,,4.251,,False,,,other,,False,False,
baseline,1,dev_0234,0,,4.272,,False,,,other,,False,False,
