scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
misleading,6,dev_0023,0,"NO
'thank you",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0039,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0055,0,YES.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0059,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0068,0,"NO
```vbnet
```",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0087,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0107,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0120,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0138,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0151,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0163,0,"NO
'thank you",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0165,0,"NO
Dragon fruit and pitaya are not the same thing. Dragon fruit is",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0207,0,"NO
't",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0210,0,YES.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0221,0,Yes. A markup language is designed to describe data by using tags to indicate the,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0229,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0237,0,"Yes. A two-stroke engine has a separate intake and exhaust stroke, while",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0243,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0248,0,NO. There are no birds known to be faster than a cheetah.,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0249,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0251,0,"YES
```vbnet
```",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0257,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0270,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0287,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0295,0,"Yes. Doves and pigeons are both members of the same family, but",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0298,0,"NO
'thank you",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0312,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0316,0,"YES
```vbnet
```",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0318,0,NO. An Ace-2-3-4-5 is not a straight,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0321,0,YES. A filibuster can potentially stop a Supreme Court nominee by requiring 6,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0333,0,NO. .22 Magnum and .22 WMR are two different types,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0336,0,Yes. Muay Thai is a traditional martial art from Thailand that incorporates elements of,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0343,0,"NO. The president is the head of the executive branch, but there are also",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0352,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0355,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0364,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0366,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0406,0,"YES. A California roll typically contains raw fish, such as salmon or tuna,",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0428,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0429,0,YES. Flax oil and linseed oil are the same thing. They are,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0430,0,I don't know. While the Banaue Rice Terraces are considered a,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0436,0,"I don't know. While it's commonly used to describe intense emotional pain,",,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0441,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0442,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0479,0,"YES. There are several breeds of miniature pigs, including the Miniature Pigs",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0481,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0482,0,"NO, a bumblebee does not die after stinging someone. The sting",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0487,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0504,0,NO,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0509,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0532,0,"YES, it is possible to connect a person's brain to a computer using techniques",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0534,0,Yes. The National Guard is a reserve force of the United States Army and is,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0536,0,I don't know. Thanos was introduced in the second Guardians of the Galaxy,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0537,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0546,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0560,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0568,0,NO,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0569,0,"YES. The NBA salary cap is a hard cap, meaning that teams are not",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0588,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0594,0,"NO
'thank you",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0596,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0598,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0612,0,YES. Popcorn is made from corn kernels that have been dried and heated until,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0617,0,YES. France and England have both competed in the World Cup multiple times. France,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0662,0,NO. LensCrafters and Pearle Vision are two separate companies that operate optical,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0678,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0696,0,YES.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0711,0,NO.,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0718,0,"YES. Chicago is the third largest city in the United States, with a population",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0724,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0731,0,"I don't know. Egg drop soup can be made without raw eggs, but",,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0737,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0754,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0759,0,NO. North and South Korea do not speak the same language. They have two,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0764,0,No. Sampling error is a measure of how much the sample mean differs from the,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0782,0,"NO
'thank you
'thank you",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0817,0,YES.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0829,0,NO. The Battle of New Orleans was fought before the end of the War of,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0832,0,NO,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0837,0,"NO
't",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0853,0,YES. A Girl Scout can become an Eagle Scout if she meets the requirements set,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0854,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0862,0,"YES. In chess, the word ""check"" is used to indicate that a",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0871,0,"YES. English is the most commonly spoken language in the world, with over",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0916,0,NO.,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0922,0,YES. A passport card can be used to fly to Canada as long as it,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0933,0,I don't know.,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0934,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0940,0,"YES, you can use a passport card to fly domestically in the United States if",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0944,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0952,0,NO. Merrill Lynch and Bank of America are two different financial institutions.,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0958,0,YES.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_0981,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0991,0,I don't know. The rules regarding television licensing in England may vary depending on,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_0994,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_0996,0,Yes. Radiator Springs is a fictional town featured in the Disney/Pixar,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_1006,0,"NO. In most countries, individuals do not need to be literate in order",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_1011,0,YES.,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_1022,0,"NO
'thank you",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_1049,0,"YES
'thank you",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_1062,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_1075,0,I don't know. The size of NHL ice rinks can vary slightly depending,,i,False,,,idk,i don't know,False,True,
misleading,6,dev_1102,0,Yes. Sweating is the process by which the body releases heat through the skin,,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_1110,0,"NO
```vbnet
```",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_1112,0,"Yes. Nuclear power and nuclear energy refer to the same thing, which is the",,yes,True,1.0,False,yes,yes,True,False,False
misleading,6,dev_1113,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_1121,0,NO,,no,True,0.0,True,no,no,True,False,True
misleading,6,dev_1133,0,I don't know.,,i,False,,,idk,i don't know,False,True,
