scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
semantic,16,dev_0023,0,"NO
```",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0039,0,"Yes, carbon can form a polar covalent bond with hydrogen. When carbon",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0055,0,I don't know. The Little League World Series has been held annually since,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0059,0,"YES.
't",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0068,0,"NO, you cannot get the death penalty as a minor. The death penalty is",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0087,0,"NO
```vbnet
I don't know
```
't",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0107,0,I don't know. The specific tax treatment of gambling winnings in Australia may vary,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0120,0,NO. A vehicle title is a legal document that证明车辆的所有权，而,,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0138,0,"NO, the drinking age is not different in every state. In the United States",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0151,0,"NO, numbers do not look the same in all languages. Different languages use different",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0163,0,"NO, the square root of 2 cannot be written as a fraction. It",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0165,0,"NO, dragon fruit and pitaya are not the same thing. Dragon fruit is",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0207,0,"NO, France and the United Kingdom are in different time zones. France uses Central",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0210,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0221,0,NO. A markup language is designed to add structure and meaning to plain text documents,,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0229,0,"NO, not all UK National Insurance numbers have a letter at the end. Some",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0237,0,"NO
```",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0243,0,"NO
```vbnet
I don't know
```
't",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0248,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
