scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
underspecified,11,dev_0023,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0025,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0039,0,"YES, carbon can form a polar covalent bond with hydrogen. In a carbon",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0055,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0059,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,11,dev_0068,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0087,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0107,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,11,dev_0120,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0138,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0151,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0163,0,"NO, the square root of 2 cannot be written as a fraction; it",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0165,0,"YES, dragon fruit and pitaya are the same thing. They are two names",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0207,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0210,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0221,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0229,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0237,0,I don't know.,,i,False,,,idk,i don't know,False,True,
underspecified,11,dev_0243,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0248,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0249,0,"NO, queen ants do not give birth to queen ants. Queen ants are produced",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0251,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0257,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0270,0,"YES, there are three U.S. states where the legal drinking age is",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0287,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0295,0,"YES, there is a difference between doves and pigeons. Doves are",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0298,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0312,0,"NO, adjectives do not always have to come before a noun. In English,",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0316,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0318,0,"YES, an Ace-2-3-4-5 is a straight in",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0321,0,"NO, a filibuster cannot stop a Supreme Court nominee because Supreme Court nominations",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0333,0,"NO, .22 Magnum and .22 WMR are not the same. .",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0336,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0343,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0352,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0355,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0364,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0366,0,"YES, the pelvic brim (or pelvic inlet) separates the abdominal cavity and pelvic",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0406,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0428,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0429,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0430,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0436,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0441,0,"NO, lobster is not typically found in shrimp with lobster sauce. Shrimp with",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0442,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0479,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0481,0,NO,,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0482,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,11,dev_0487,0,YES,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,11,dev_0504,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
