scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
semantic,16,dev_0023,0,"No, a cape and a cloak are not the same. While they are both",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0039,0,"Yes, carbon can form a polar covalent bond with hydrogen.
###",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0055,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0059,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0068,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0087,0,"I don't know. The ""boiling frog"" myth is a metaphorical",,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0107,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0120,0,"No, a vehicle title and registration are not the same thing. A vehicle title",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0138,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0151,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0163,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0165,0,"Yes, dragon fruit and pitaya are the same thing. They are the edible",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0207,0,"No, France is not in the same time zone as the UK. France observes",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0210,0,"No, The Three Little Pigs is not a nursery rhyme. It is a",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0221,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0229,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0237,0,"Yes, there is a difference between 2-cycle and 2-stroke",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0243,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0248,0,"No, there is no bird that is faster than a cheetah. Che",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0249,0,"No, queen ants do not give birth to queen ants. They lay eggs that",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0251,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0257,0,"Yes, a glass window can break on its own due to various factors such as",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0270,0,"No, there is no U.S. state where the drinking age is",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0287,0,"Yes, you can call a fair catch on a kickoff.",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0295,0,"Yes, there is a difference between doves and pigeons. Doves are a",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0298,0,"No, sheet metal gauge and wire gauge are not the same. They are two",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0312,0,"Yes, adjectives typically come before the noun they modify in a sentence. This is",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0316,0,"No, the internal intercostal muscles do not contract during inspiration. They are",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0318,0,"Yes, an Ace-2-3-4-5 is a straight in",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0321,0,"Yes, a filibuster can stop a Supreme Court nominee. In the U",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0333,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0336,0,I would answer 'I don't know' to this question. While Mu,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0343,0,"No, the president is not the only member of the executive branch. The president",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0352,0,"Yes, you can score off a throw-in in soccer. A throw-",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0355,0,"Yes, Father's Day is celebrated on the third Sunday of June every year",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0364,0,"Yes, it is generally recommended to have a wicket-keeper in cricket, as",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0366,0,"Yes, the peritoneum separates the abdominal cavity from the pelvic cavity.",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0406,0,"Yes, a California roll typically contains fish, specifically crab or imitation crab, as",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0428,0,"Yes, peroxide and hydrogen peroxide are the same thing. Hydrogen per",,yes,True,1.0,False,yes,yes,True,False,False
semantic,16,dev_0429,0,I don't know.,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0430,0,"No, the Banaue Rice Terraces are not one of the 7",,no,True,0.0,True,no,no,True,False,True
semantic,16,dev_0436,0,I would answer 'I don't know' to this question. While the,,i,False,,,idk,i don't know,False,True,
semantic,16,dev_0441,0,I don't know.,,i,False,,,idk,i don't know,False,True,
