boolq_id,pred_L6,pred_L11,pred_L16,pred_L21,comp_L6,comp_L11,comp_L16,comp_L21,corr_L6,corr_L11,corr_L16,corr_L21,label_L6,label_L11,label_L16,label_L21,answered_L6,answered_L11,answered_L16,answered_L21,idk_L6,idk_L11,idk_L16,idk_L21,anscorr_L6,anscorr_L11,anscorr_L16,anscorr_L21
dev_0001,i,i,i,i,False,False,False,False,,,,,idk,other,idk,other,False,False,False,False,True,False,True,False,,,,
dev_0002,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0004,i,i,no,no,False,False,True,True,,,True,True,other,other,no,no,False,False,True,True,False,False,False,False,,,True,True
dev_0008,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0009,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0013,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0015,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0020,no,yes,no,no,True,True,True,True,True,False,True,True,no,yes,no,no,True,True,True,True,False,False,False,False,True,False,True,True
dev_0021,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0022,no,yes,no,no,True,True,True,True,True,False,True,True,no,yes,no,no,True,True,True,True,False,False,False,False,True,False,True,True
dev_0023,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0027,no,i,no,i,True,False,True,False,True,,True,,no,other,no,idk,True,False,True,False,False,False,False,True,True,,True,
dev_0031,i,i,i,i,False,False,False,False,,,,,idk,other,idk,idk,False,False,False,False,True,False,True,True,,,,
dev_0033,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0038,i,i,no,i,False,False,True,False,,,True,,idk,idk,no,idk,False,False,True,False,True,True,False,True,,,True,
dev_0039,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0040,no,i,no,no,True,False,True,True,True,,True,True,no,other,no,no,True,False,True,True,False,False,False,False,True,,True,True
dev_0043,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0047,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0052,yes,i,no,yes,True,False,True,True,False,,True,False,yes,idk,no,yes,True,False,True,True,False,True,False,False,False,,True,False
dev_0055,no,i,no,no,True,False,True,True,True,,True,True,no,idk,no,no,True,False,True,True,False,True,False,False,True,,True,True
dev_0059,yes,yes,no,no,True,True,True,True,False,False,True,True,yes,yes,no,no,True,True,True,True,False,False,False,False,False,False,True,True
dev_0061,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0065,yes,yes,no,no,True,True,True,True,False,False,True,True,yes,yes,no,no,True,True,True,True,False,False,False,False,False,False,True,True
dev_0066,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0068,no,i,no,i,True,False,True,False,True,,True,,no,other,no,idk,True,False,True,False,False,False,False,True,True,,True,
dev_0070,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0072,i,i,no,i,False,False,True,False,,,True,,idk,other,no,other,False,False,True,False,True,False,False,False,,,True,
dev_0073,i,i,i,i,False,False,False,False,,,,,idk,idk,idk,idk,False,False,False,False,True,True,True,True,,,,
dev_0076,no,i,no,i,True,False,True,False,True,,True,,no,other,no,idk,True,False,True,False,False,False,False,True,True,,True,
dev_0078,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0080,i,i,no,i,False,False,True,False,,,True,,other,other,no,idk,False,False,True,False,False,False,False,True,,,True,
dev_0083,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0085,no,i,no,no,True,False,True,True,True,,True,True,no,other,no,no,True,False,True,True,False,False,False,False,True,,True,True
dev_0086,no,yes,yes,yes,True,True,True,True,True,False,False,False,no,yes,yes,yes,True,True,True,True,False,False,False,False,True,False,False,False
dev_0087,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0088,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0089,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0091,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0095,i,i,no,no,False,False,True,True,,,True,True,idk,other,no,no,False,False,True,True,True,False,False,False,,,True,True
dev_0100,i,i,i,i,False,False,False,False,,,,,other,other,idk,idk,False,False,False,False,False,False,True,True,,,,
dev_0105,yes,yes,no,no,True,True,True,True,False,False,True,True,yes,yes,no,no,True,True,True,True,False,False,False,False,False,False,True,True
dev_0107,i,i,i,yes,False,False,False,True,,,,False,idk,idk,idk,yes,False,False,False,True,True,True,True,False,,,,False
dev_0116,yes,yes,yes,yes,True,True,True,True,False,False,False,False,yes,yes,yes,yes,True,True,True,True,False,False,False,False,False,False,False,False
dev_0120,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0121,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0123,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0124,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0125,no,no,no,no,True,True,True,True,True,True,True,True,no,no,no,no,True,True,True,True,False,False,False,False,True,True,True,True
dev_0126,no,i,no,i,True,False,True,False,True,,True,,no,other,no,idk,True,False,True,False,False,False,False,True,True,,True,
dev_0129,no,i,no,i,True,False,True,False,True,,True,,no,idk,no,idk,True,False,True,False,False,True,False,True,True,,True,
