boolq_id,pred_L1,comp_L1,label_L1,answered_L1,idk_L1
dev_0002,,False,other,False,False
dev_0004,,False,other,False,False
dev_0008,,False,other,False,False
dev_0009,,False,other,False,False
dev_0013,,False,other,False,False
dev_0015,,False,other,False,False
dev_0020,,False,other,False,False
dev_0021,,False,other,False,False
dev_0022,,False,other,False,False
dev_0023,,False,other,False,False
dev_0027,,False,other,False,False
dev_0031,,False,other,False,False
dev_0033,,False,other,False,False
dev_0038,,False,other,False,False
dev_0039,,False,other,False,False
dev_0040,,False,other,False,False
dev_0043,,False,other,False,False
dev_0047,,False,other,False,False
dev_0052,,False,other,False,False
dev_0055,,False,other,False,False
dev_0059,,False,other,False,False
dev_0061,,False,other,False,False
dev_0065,,False,other,False,False
dev_0066,,False,other,False,False
dev_0068,,False,other,False,False
dev_0070,,False,other,False,False
dev_0072,,False,other,False,False
dev_0073,,False,other,False,False
dev_0076,,False,other,False,False
dev_0078,,False,other,False,False
dev_0080,,False,other,False,False
dev_0083,,False,other,False,False
dev_0085,,False,other,False,False
dev_0086,,False,other,False,False
dev_0087,,False,other,False,False
dev_0088,,False,other,False,False
dev_0089,,False,other,False,False
dev_0091,,False,other,False,False
dev_0095,,False,other,False,False
dev_0100,,False,other,False,False
dev_0105,,False,other,False,False
dev_0107,,False,other,False,False
dev_0116,,False,other,False,False
dev_0120,,False,other,False,False
dev_0121,,False,other,False,False
dev_0123,,False,other,False,False
dev_0124,,False,other,False,False
dev_0125,,False,other,False,False
dev_0126,,False,other,False,False
dev_0129,,False,other,False,False
dev_0131,,False,other,False,False
dev_0132,,False,other,False,False
dev_0136,,False,other,False,False
dev_0138,,False,other,False,False
dev_0142,,False,other,False,False
dev_0147,,False,other,False,False
dev_0148,,False,other,False,False
dev_0151,,False,other,False,False
dev_0153,,False,other,False,False
dev_0157,,False,other,False,False
dev_0159,,False,other,False,False
dev_0161,,False,other,False,False
dev_0163,,False,other,False,False
dev_0165,,False,other,False,False
dev_0166,,False,other,False,False
dev_0170,,False,other,False,False
dev_0178,,False,other,False,False
dev_0179,,False,other,False,False
dev_0184,,False,other,False,False
dev_0190,,False,other,False,False
dev_0191,,False,other,False,False
dev_0195,,False,other,False,False
dev_0196,,False,other,False,False
dev_0198,,False,other,False,False
dev_0200,,False,other,False,False
dev_0202,,False,other,False,False
dev_0207,,False,other,False,False
dev_0209,,False,other,False,False
dev_0210,,False,other,False,False
dev_0211,,False,other,False,False
dev_0212,,False,other,False,False
dev_0214,,False,other,False,False
dev_0215,,False,other,False,False
dev_0221,,False,other,False,False
dev_0222,,False,other,False,False
dev_0223,,False,other,False,False
dev_0224,,False,other,False,False
dev_0229,,False,other,False,False
dev_0230,,False,other,False,False
dev_0231,,False,other,False,False
dev_0234,,False,other,False,False
dev_0236,,False,other,False,False
dev_0237,,False,other,False,False
dev_0238,,False,other,False,False
