scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
underspecified,16,dev_0023,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0039,0,"Yes, carbon can form a polar covalent bond with hydrogen. In fact",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0055,0,"YES
```vbnet
I don't know
```
't",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0059,0,"YES
```vbnet
I don't know
```
't",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0068,0,I don't know. The answer to this question depends on the laws and regulations,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0087,0,"I don't know.
't",,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0107,0,I don't know. The tax treatment of gambling winnings in Australia may vary depending,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0120,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0138,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0151,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0163,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0165,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0207,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0210,0,"YES
```vbnet",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0221,0,Yes. A markup language is designed to describe data by providing a set of rules,,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0229,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0237,0,"Yes, there is a difference between 2-cycle and 2-stroke engines",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0243,0,I don't know. I do not have access to real-time information and cannot,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0248,0,I don't know. While cheetahs are known for being very fast,,i,False,,,idk,i don't know,False,True,
underspecified,16,dev_0249,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0251,0,"NO
###",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0257,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0270,0,"NO, there is no U.S. state where the drinking age is 1",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0287,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0295,0,"Yes. Doves and pigeons are both members of the same family, Colum",,yes,True,1.0,False,yes,yes,True,False,False
underspecified,16,dev_0298,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0312,0,"NO
###
't",,no,True,0.0,True,no,no,True,False,True
underspecified,16,dev_0316,0,"YES
###",,yes,True,1.0,False,yes,yes,True,False,False
